lev_from_returnpath,lev_returnpath_helo,lev_helo_messageid,dkim_signature_present,reply_to_present,hop_count,total_delay_log,asn_in_nerd,asn_avg_rep,ptr_exists,ptr_matches_helo,helo_domain_resolves,from_domain_has_mx,lev_display_name_alignment,display_name_missing,spamassassin_score,spamassassin_present
1,1,1,0,0,2,0,0,,0,0,1,0,0.2,0,,0
1,1,,1,1,4,2.197225,1,0.163286,1,1,1,1,0.1071,0,-2.509,1
1,1,1,1,0,4,1.609438,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
1,1,,1,1,4,1.609438,1,0.163286,1,1,1,1,0.25,0,,0
1,1,,0,1,4,2.397895,1,0.060881,1,1,1,1,1,0,-1.496,1
1,1,1,0,0,3,0,1,0.06216,0,0,1,0,,1,,0
1,1,,1,1,4,2.772589,1,0.163286,1,1,1,1,0.25,0,-1.5,1
0.3846,1,1,1,1,3,0,1,0.227036,1,1,1,1,0.5455,0,,0
0.1818,0.1818,0.1818,1,0,4,3.401197,1,0.159104,1,1,0,1,0.1538,0,-2.561,1
1,0.3636,0.6,1,0,4,3.806662,1,0.167366,1,1,1,1,0.4167,0,-1.918,1
1,1,,1,1,4,1.791759,1,0.163286,1,1,1,1,0.25,0,,0
0.3889,1,1,1,1,3,1.609438,1,0.227036,1,1,1,0,0.5455,0,0.662,1
1,1,1,1,0,4,1.609438,1,0.167366,1,1,1,1,0.2857,0,-1.297,1
1,0.6,0.6,1,0,4,1.386294,1,0.167366,1,1,1,1,0.9167,0,-2.66,1
1,0.6,0.6,1,0,4,1.609438,1,0.167366,1,1,1,1,0.7778,0,-1.41,1
1,1,1,1,0,4,2.397895,1,0.167366,1,1,1,1,0.2857,0,-4.987,1
1,1,1,1,0,6,1.386294,1,0.14289,1,0,1,1,,1,5.487,1
1,1,1,1,0,4,1.386294,1,0.167366,1,1,1,1,0.2857,0,-1.937,1
1,1,1,1,0,4,2.079442,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
1,1,1,1,0,4,2.197225,1,0.167366,1,1,1,1,0.2857,0,-1.937,1
1,1,1,1,0,4,3.367296,1,0.076553,1,1,1,1,0.3704,0,-5.191,1
0.35,1,1,1,1,3,0.693147,1,0.236867,1,1,1,0,0.64,0,,0
1,1,,0,1,4,2.484907,1,0.060881,1,1,1,1,1,0,-1.92,1
1,1,1,1,0,4,1.94591,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
1,1,0.1333,1,1,3,2.197225,1,0.159104,1,1,1,1,1,0,-8.69,1
1,1,1,1,0,4,1.94591,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
0.5,0.1667,1,1,1,4,2.397895,1,0.159104,1,0,0,1,0.5455,0,-2,1
1,1,,0,1,4,2.484907,1,0.163286,1,1,1,1,1,0,-1.4,1
1,1,1,1,0,4,0.693147,1,0.167366,1,1,1,1,0.2857,0,,0
1,1,1,1,0,4,2.302585,1,0.167366,1,1,1,1,0.2857,0,-1.297,1
1,1,,1,1,4,2.772589,1,0.163286,1,1,1,1,0.1111,0,-3.189,1
0.1667,0.1429,0.1429,1,0,5,6.216606,1,0.14289,1,1,1,1,0.4706,0,-2.559,1
1,1,,1,1,4,3.970292,1,0.163286,1,1,1,1,0.25,0,-4.443,1
1,1,1,0,0,3,0,0,,0,0,1,0,,1,,0
1,1,,0,1,4,2.302585,1,0.163286,0,0,1,1,1,0,-2.56,1
1,1,,1,1,4,2.772589,1,0.163286,1,1,1,1,0.25,0,-1.488,1
1,1,,1,1,4,2.397895,1,0.163286,1,1,1,1,0.25,0,-2.509,1
1,1,1,1,0,4,3.258097,1,0.167366,1,1,1,1,0.2857,0,-1.937,1
1,0.3846,1,1,1,3,1.609438,1,0.227036,1,1,1,1,0.5833,0,2.289,1
1,0.6,0.6,1,0,4,5.231109,1,0.167366,1,1,1,1,0.5882,0,-5.059,1
1,0.2,0.6,1,0,4,2.397895,1,0.167366,1,1,1,0,0.9091,0,,0
1,1,,0,1,4,2.302585,1,0.163286,0,0,1,1,1,0,-1.476,1
1,1,,0,1,4,3.555348,1,0.060881,1,1,1,1,1,0,-1.4,1
1,0.3333,,0,0,3,0.693147,1,0.000809,1,1,1,1,0.1333,0,,0
1,1,1,1,0,4,2.70805,1,0.06216,0,0,1,1,,1,0.501,1
1,1,,1,1,4,2.197225,1,0.163286,1,1,1,1,0.1111,0,-1.5,1
1,0.1333,0.1333,1,1,3,0.693147,0,,1,1,1,1,0.5455,0,3.333,1
1,1,,0,1,4,2.484907,1,0.163286,1,1,1,1,1,0,-1.9,1
1,1,,1,1,4,3.135494,1,0.163286,1,1,1,1,0.25,0,-5.208,1
1,0.3846,1,1,1,3,2.397895,1,0.227036,1,1,1,1,0.5833,0,0.31,1
1,1,1,0,0,3,0,1,0.06216,0,0,1,0,,1,,0
1,0.2,0.6,1,0,4,1.609438,1,0.167366,1,1,1,0,0.96,0,-2.661,1
1,1,,0,1,4,2.302585,1,0.060881,1,1,1,1,0.2727,0,2.004,1
,,1,0,0,3,1.791759,1,0.077215,1,0,1,1,,1,-1.699,1
1,1,1,0,0,4,6.086775,1,0.015163,1,0,0,0,0.1333,0,-1.9,1
1,1,,1,1,4,2.484907,1,0.163286,1,1,1,1,0.25,0,1.446,1
1,0.4,1,1,0,4,2.484907,1,0.159481,1,0,1,1,0.75,0,-4.297,1
1,0.4,1,1,0,4,2.484907,1,0.159481,1,0,1,1,0.75,0,-5.147,1
1,1,,1,1,4,2.397895,1,0.163286,1,1,1,1,0.25,0,-1.52,1
1,0.2222,,0,0,3,1.098612,1,0.092833,1,1,1,0,0.2,0,,0
1,0.4,1,1,0,4,2.302585,1,0.159481,1,0,1,1,0.75,0,-4.157,1
1,1,1,1,1,4,1.609438,1,0.185982,1,0,1,1,1,0,,0
1,1,1,1,0,4,1.609438,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
1,1,,1,1,4,2.484907,1,0.163286,1,1,1,1,0.25,0,-1.5,1
0.2308,1,1,1,1,3,1.609438,1,0.236867,1,1,1,1,0.5,0,-4.498,1
1,1,1,0,0,2,0,0,,0,0,1,0,0.9375,0,,0
1,1,1,1,0,4,1.609438,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
1,0.6,0.6,1,0,4,1.386294,1,0.167366,1,1,1,1,0.8125,0,-2.41,1
1,1,1,0,0,3,0,1,0.007332,0,0,1,0,,1,,0
1,1,0.1333,1,1,3,1.94591,1,0.159104,1,1,1,1,1,0,-6.19,1
1,1,1,1,1,4,2.995732,1,0.185982,1,0,1,1,1,0,-2.7,1
1,0.3077,,0,1,4,4.174387,1,0.163286,1,1,1,1,1,0,-1.476,1
1,0.1333,0.1333,1,1,5,7.335634,1,0.549872,0,0,0,1,0.9167,0,-5.851,1
0.1333,1,1,1,1,4,2.70805,1,0.159104,1,1,1,1,1,0,,0
1,1,1,0,0,3,0,0,,0,0,1,0,,1,,0
1,1,,1,1,4,2.484907,1,0.163286,1,1,1,1,0.25,0,-1.498,1
1,1,1,1,0,4,2.564949,0,,1,1,1,1,0.9333,0,5.71,1
1,0.4,1,1,0,4,2.564949,1,0.159481,1,0,1,1,0.75,0,-5.709,1
0.2,1,1,1,1,4,3.178054,1,0.053036,1,1,1,1,0.4545,0,-0.323,1
1,0.2,0.6,1,0,4,1.609438,1,0.167366,1,1,1,0,0.9091,0,-2.661,1
1,1,1,1,1,4,3.091042,1,0.185982,1,0,1,1,1,0,-2.7,1
1,1,1,1,0,4,2.197225,0,,1,1,1,1,0.9286,0,-2.66,1
1,0.3077,,0,1,4,3.178054,1,0.163286,1,1,1,1,0.0833,0,2.524,1
1,1,,0,1,4,2.639057,1,0.060881,1,1,1,1,1,0,-1.42,1
1,1,0.1333,1,1,3,1.609438,1,0.159104,1,1,1,1,1,0,-2.151,1
1,1,,1,1,4,2.197225,1,0.163286,1,1,1,1,0.25,0,-2.508,1
1,1,,0,1,4,2.639057,1,0.060881,1,1,1,1,1,0,-1.42,1
1,1,,1,1,4,2.079442,1,0.163286,1,1,1,1,0.25,0,-1.5,1
0.4444,0.0909,1,1,1,4,5.293305,1,0.159104,1,1,0,1,0.9167,0,-2.08,1
0.3846,1,1,1,1,3,1.609438,1,0.227036,1,1,1,1,0.5455,0,1.563,1
0.1579,0.2632,0.2632,1,1,4,2.302585,1,0.079552,1,0,0,1,0.45,0,-1.157,1
1,1,1,0,0,3,0,1,0.028074,1,0,1,0,,1,,0
1,1,1,0,1,2,0,0,,0,0,1,0,0.7083,0,,0
0.5,1,0.1667,1,1,3,1.94591,1,0.159104,1,1,1,1,0.5455,0,0.35,1
1,1,1,1,0,4,1.791759,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
0.0909,1,1,1,1,4,2.302585,1,0.159104,1,1,1,1,1,0,-6.553,1
1,1,0.0909,1,1,3,6.386879,1,0.159104,1,1,1,1,0.5833,0,-1.52,1
1,1,1,0,0,2,0,0,,0,0,1,0,,1,,0
1,1,,1,1,4,2.197225,1,0.163286,1,1,1,1,0.25,0,-1.519,1
1,1,1,1,0,4,2.197225,1,0.167366,1,1,1,1,0.2857,0,-1.297,1
1,0.4,1,1,0,4,2.302585,1,0.159481,1,0,1,1,0.75,0,-2.999,1
1,1,1,0,0,6,2.397895,1,0.06216,0,0,1,1,,1,-0.41,1
1,0.4,1,1,0,4,2.079442,1,0.159481,1,0,1,1,0.75,0,-6.35,1
1,1,,1,1,4,2.197225,1,0.163286,1,1,1,1,0.25,0,-5.294,1
1,1,1,0,0,3,0,1,0.007332,1,0,1,0,,1,,0
0.25,1,1,1,1,4,2.397895,1,0.227036,1,1,1,1,0.5625,0,-0.366,1
1,1,1,1,0,4,2.197225,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
0.0833,1,1,1,1,4,2.197225,1,0.159104,1,1,1,1,0.7778,0,-6.566,1
0.1538,0.4,,1,1,5,1.386294,1,0.14289,1,1,0,1,1,0,6.61,1
1,1,1,1,0,4,2.197225,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
1,0.4,1,1,0,4,2.302585,1,0.159481,1,0,1,1,0.75,0,-4.646,1
0.1765,1,1,1,1,4,2.397895,1,0.227036,0,0,1,1,0.1538,0,-5.678,1
1,1,1,0,0,3,0,1,0.007332,0,0,1,0,,1,,0
1,1,,1,1,4,2.302585,1,0.163286,1,1,1,1,0.1111,0,-1.499,1
1,1,,1,1,4,3.988984,1,0.163286,1,1,1,1,0.2727,0,-4.999,1
0.5,1,0.1667,1,1,3,1.609438,1,0.159104,1,1,1,1,1,0,-2.151,1
1,0.5385,,0,0,3,3.367296,0,,1,0,0,1,0.1333,0,,0
1,0.4,1,1,0,4,1.791759,1,0.159481,1,0,1,1,0.75,0,,0
1,1,1,1,0,4,1.791759,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
1,1,1,1,0,4,1.609438,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
1,1,1,1,0,4,0.693147,1,0.167366,1,1,1,1,0.2857,0,,0
0.1333,0.1667,0.4,1,1,4,3.78419,1,0.189046,1,1,1,1,0.4615,0,-0.376,1
1,1,1,1,0,4,2.302585,1,0.167366,1,1,1,1,0.2857,0,-4.987,1
1,1,1,0,0,2,0,0,,0,0,1,0,0.9375,0,,0
0.3333,,,0,0,4,2.197225,1,0.040932,1,0,0,1,,1,-0.459,1
1,1,,0,1,4,2.564949,1,0.163286,0,0,1,1,1,0,-0.976,1
0.125,1,1,1,1,4,2.564949,1,0.227036,1,1,1,1,0.1,0,-0.153,1
0.4444,0.0909,1,1,1,4,2.484907,1,0.159104,1,1,0,1,0.9167,0,-1.5,1
1,1,,0,1,4,2.639057,1,0.060881,1,1,1,1,0.2727,0,-1.42,1
1,1,1,0,0,3,0,0,,0,0,1,0,,1,,0
0.3333,0.4,,1,1,5,0.693147,1,0.14289,1,1,0,1,0.4444,0,,0
1,0.2727,,1,0,4,2.302585,0,,1,0,0,1,,1,-4.2,1
1,1,1,1,0,4,1.609438,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
0.4667,0.4667,,0,1,4,0,1,0.060881,1,1,1,1,0.55,0,4.076,1
1,1,1,1,0,4,2.197225,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
0.1333,0.1429,0.1429,1,1,5,6.4708,1,0.14289,1,1,1,1,0.1818,0,-2.66,1
1,1,,0,1,4,2.484907,1,0.060881,1,1,1,1,1,0,-1.496,1
1,1,1,0,0,3,0,1,0.06216,0,0,1,0,,1,,0
1,1,1,0,1,2,0,0,,0,0,1,0,0.1818,0,,0
1,1,,1,1,4,1.94591,1,0.163286,1,1,1,1,0.25,0,,0
1,1,1,1,1,4,2.302585,1,0.185982,1,0,1,1,1,0,-3.361,1
1,1,,1,1,4,1.791759,1,0.163286,1,1,1,1,0.3158,0,,0
1,1,,1,1,4,2.397895,1,0.163286,1,1,1,1,0.25,0,-5.208,1
1,1,1,1,1,8,2.995732,1,0.082291,1,0,1,1,,1,-2,1
1,1,1,1,0,4,2.197225,1,0.167366,1,1,1,1,0.2857,0,-1.937,1
1,1,,0,1,4,4.174387,1,0.163286,1,1,1,1,1,0,-1.4,1
1,0.3636,,0,0,8,2.302585,1,0.159104,0,0,0,1,0.2353,0,4.829,1
0.0909,1,1,1,0,4,2.302585,1,0.159104,1,1,0,1,0.3846,0,-2.009,1
1,1,,0,1,4,2.772589,1,0.163286,1,1,1,1,1,0,-1.4,1
1,1,0.0909,1,1,3,0.693147,1,0.159104,1,1,1,1,0.5833,0,,0
1,1,,1,1,4,2.639057,1,0.163286,1,1,1,1,0.25,0,-5.209,1
1,0.4,1,1,0,4,2.639057,1,0.159481,1,0,1,1,0.75,0,-1.101,1
1,1,1,1,0,4,2.079442,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
1,1,,1,1,4,3.526361,1,0.076553,1,1,1,1,0.2857,0,-2.162,1
1,0.2,0.6,1,0,4,1.386294,1,0.167366,1,1,1,0,0.8235,0,-2.02,1
1,1,,0,1,4,2.772589,1,0.060881,1,1,1,1,1,0,-1.42,1
1,0.4,1,1,0,4,3.135494,1,0.159481,1,0,1,1,0.75,0,-5.147,1
1,1,1,1,0,4,2.397895,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
1,0.6,0.6,1,0,4,2.302585,1,0.167366,1,1,1,1,0.9412,0,-2.66,1
1,1,1,0,0,2,0,0,,0,0,1,0,0.9375,0,,0
1,1,1,0,0,2,0.693147,0,,0,0,1,0,0.6154,0,,0
1,1,0.2727,0,1,4,2.944439,1,0.005847,0,0,0,0,0.9333,0,,0
1,1,1,1,1,4,7.83637,1,0.185982,1,0,1,1,1,0,-3.011,1
1,1,,1,1,4,2.564949,1,0.163286,1,1,1,1,0.25,0,-5.208,1
1,1,,1,1,4,1.791759,1,0.163286,1,1,1,1,0.25,0,,0
1,1,1,0,0,3,0,1,0.028552,0,0,1,0,,1,,0
0.0909,1,1,1,1,4,2.197225,1,0.159104,1,1,1,1,1,0,-2.526,1
1,0.2,0.6,1,0,4,0.693147,1,0.167366,1,1,1,0,0.96,0,,0
1,0.8333,1,0,1,4,3.806662,1,0.082291,0,0,0,0,0.4667,0,5.162,1
1,1,0.1333,1,1,3,1.94591,1,0.159104,1,1,1,1,1,0,-6.69,1
1,0.4,1,1,0,4,2.397895,1,0.159481,1,0,1,1,0.75,0,-1.101,1
0.3333,1,0.2,1,1,4,2.70805,1,0.159104,1,1,1,1,0.2,0,-2.499,1
0.1333,0.1429,0.1429,1,1,5,1.791759,0,,0,0,1,1,0.45,0,-2.661,1
0.2,1,1,1,1,4,3.258097,1,0.053036,1,1,1,1,0.4545,0,-3.325,1
0.3846,1,1,1,1,3,1.609438,1,0.227036,1,1,1,1,0.5455,0,-0.676,1
0.125,1,1,1,1,4,2.197225,1,0.227036,1,1,1,1,0.1,0,-1.876,1
1,1,0.0909,1,1,3,1.791759,1,0.159104,1,1,1,1,0.5833,0,-2.152,1
1,1,1,1,0,4,0.693147,1,0.167366,1,1,1,1,0.2857,0,,0
1,1,1,0,0,3,0,1,0.06216,0,0,1,0,,1,,0
